TUNNELS: [2,12] [3,23] [4,33] [5,60] [70,10] 
[1,1] [-1] [6,3] [12] T 
[2,2] [-1] [4,5] [12] T E 
[3,1] [-1] [5,2] [-1] 
[4,2] [12] [2,1] [14] 
[5,1] [-1] [3,6] [12] T 
[6,2] [14] [5,6] [20] 
[7,1] [12] [5,2] [17] 
[8,2] [20] [2,6] [26] 
[9,1] [17] [6,2] [23] 
[10,2] [26] [1,4] [30] 
[11,1] [23] [5,3] [28] 
[12,2] [30] [1,4] [34] 
[13,1] [28] [3,3] [31] 
[14,2] [34] [2,6] [40] 
[15,1] [31] [1,6] [37] 
[16,2] [40] [3,3] [43] 
[17,1] [37] [6,1] [43] E 
[18,2] [-1] [1,6] [-1] 
[19,1] [43] [6,2] [49] 
[20,2] [-1] [5,1] [-1] 
[21,1] [49] [4,5] [54] 
[22,2] [-1] [5,5] [23] T 
[23,1] [54] [3,6] [60] 
[24,2] [23] [6,1] [29] 
[25,1] [60] [1,1] [29] S 
[26,2] [60] [4,2] [64] 
[27,1] [29] [1,2] [31] 
[28,2] [64] [4,5] [69] 
[29,1] [31] [1,4] [35] 
[30,2] [69] [5,5] [74] 
WINNER: 2
VISITS: 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 1 0 0 1 0 0 2 0 0 1 0 1 2 1 2 0 0 1 1 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 
